Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC OASIS,"1,590,000","1,506.96","1,055",Nov-22,JURONG EAST AVENUE 1,Resale,Strata,140,"11,357",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,06 to 10
WATERTOWN,"985,000",602.78,"1,634",Nov-22,PUNGGOL CENTRAL,Resale,Strata,56,"17,589",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
REGENT GROVE,"1,150,000","1,259.39",913,Nov-22,CHOA CHU KANG NORTH 7,Resale,Strata,117,"9,829",-,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,06 to 10
CASHEW PARK CONDOMINIUM,"1,650,000","1,367.03","1,207",Nov-22,CASHEW ROAD,Resale,Strata,127,"12,992",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,01 to 05
THE WISTERIA,"1,125,000",893.41,"1,259",Nov-22,YISHUN RING ROAD,Resale,Strata,83,"13,554",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
KEW GREEN,"3,000,000","3,541.36",847,Nov-22,KEW CRESCENT,Resale,Strata,329,"9,119",-,Condominium,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
THOMSON GRAND,"2,400,000","1,657.66","1,448",Nov-22,SIN MING WALK,Resale,Strata,154,"15,584",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,01 to 05
FOREST WOODS,"1,320,000",775.01,"1,703",Nov-22,LORONG LEW LIAN,Resale,Strata,72,"18,333",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,11 to 15
FERRARIA PARK CONDOMINIUM,"1,080,000",914.94,"1,180",Nov-22,FLORA DRIVE,Resale,Strata,85,"12,706",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
THE QUARTZ,"1,250,000","1,065.64","1,173",Nov-22,COMPASSVALE BOW,Resale,Strata,99,"12,626",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,01 to 05
PANDAN VALLEY,"2,950,000","2,088.22","1,413",Nov-22,PANDAN VALLEY,Resale,Strata,194,"15,206",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
OPTIMA @ TANAH MERAH,"1,055,000",839.59,"1,257",Nov-22,TANAH MERAH KECHIL AVENUE,Resale,Strata,78,"13,526",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,06 to 10
THE JADE,"1,808,000","1,474.67","1,226",Nov-22,BUKIT BATOK CENTRAL LINK,Resale,Strata,137,"13,197",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,16 to 20
KINGSFORD . HILLVIEW PEAK,"795,000",645.84,"1,231",Nov-22,HILLVIEW RISE,Resale,Strata,60,"13,250",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
HILLINGTON GREEN,"2,000,000","1,356.26","1,475",Nov-22,HILLVIEW AVENUE,Resale,Strata,126,"15,873",-,Condominium,1,999 yrs lease commencing from 1883,23,Outside Central Region,01 to 05
SAVANNAH CONDOPARK,"1,100,000","1,022.58","1,076",Nov-22,SIMEI RISE,Resale,Strata,95,"11,579",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
RIVERSOUND RESIDENCE,"881,800",753.48,"1,170",Nov-22,SENGKANG EAST AVENUE,Resale,Strata,70,"12,597",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
WATERVIEW,"1,468,000","1,130.22","1,299",Nov-22,TAMPINES AVENUE 1,Resale,Strata,105,"13,981",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
Q BAY RESIDENCES,"1,388,888","1,280.92","1,084",Nov-22,TAMPINES STREET 86,Resale,Strata,119,"11,671",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
NOTTINGHILL SUITES,"685,000",398.27,"1,720",Nov-22,TOH TUCK ROAD,Resale,Strata,37,"18,514",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
BISHAN POINT,"1,778,000","1,270.15","1,400",Nov-22,BRIGHT HILL DRIVE,Resale,Strata,118,"15,068",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,11 to 15
SYMPHONY SUITES,"1,058,888",914.94,"1,157",Nov-22,YISHUN CLOSE,Resale,Strata,85,"12,458",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
SUITES DE LAUREL,"1,630,000","1,065.64","1,530",Nov-22,JALAN ANAK BUKIT,Resale,Strata,99,"16,465",-,Apartment,1,999 yrs lease commencing from 1884,21,Rest of Central Region,01 to 05
VUE 8 RESIDENCE,"985,000",796.54,"1,237",Nov-22,PASIR RIS HEIGHTS,Resale,Strata,74,"13,311",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
J GATEWAY,"1,480,000",893.41,"1,657",Nov-22,GATEWAY DRIVE,Resale,Strata,83,"17,831",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,01 to 05
KOVAN MELODY,"1,748,000","1,216.33","1,437",Nov-22,KOVAN ROAD,Resale,Strata,113,"15,469",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,11 to 15
THE LAKESHORE,"1,415,000","1,140.98","1,240",Nov-22,JURONG WEST STREET 41,Resale,Strata,106,"13,349",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,11 to 15
ECO,"868,000",592.02,"1,466",Nov-22,BEDOK SOUTH AVENUE 3,Resale,Strata,55,"15,782",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
VERTIS,"2,120,000","1,205.57","1,759",Nov-22,AMBER GARDENS,Resale,Strata,112,"18,929",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
COCO PALMS,"1,100,000",753.48,"1,460",Nov-22,PASIR RIS GROVE,Resale,Strata,70,"15,714",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
MY MANHATTAN,"1,510,000","1,076.4","1,403",Nov-22,SIMEI STREET 3,Resale,Strata,100,"15,100",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15
RESIDENTIAL APARTMENTS,"2,200,000","1,388.56","1,584",Nov-22,STANGEE PLACE,Resale,Strata,129,"17,054",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
