LATITUDE,LONGITUDE,address,town,flat_type,floor_area_sqm,remaining_lease,bus_within_0.5,cbd_distance,hawker_distance,mall_within_2.0,mrtlrt_distance,park_distance,school_within_2.0,supermarket_within_0.5,resale_price,region
1.39045,103.9051,142 RIVERVALE CRES,SENGKANG,5 ROOM,116.0,81,16.0,13.177135,1.671235,6.0,0.150847,0.198605,28.0,1.0,475788.832,North East
1.39047,103.89432,216C COMPASSVALE DR,SENGKANG,4 ROOM,92.0,95,27.0,12.684347,0.919117,7.0,0.168865,1.057725,28.0,3.0,680724.6599999999,North East
1.39047,103.89432,216C COMPASSVALE DR,SENGKANG,5 ROOM,112.0,95,27.0,12.684347,0.919117,7.0,0.168865,1.057725,28.0,3.0,858651.7575,North East
1.39049,103.88051,416B FERNVALE LINK,SENGKANG,4 ROOM,93.0,96,6.0,12.196173,0.402921,5.0,0.182025,0.631155,14.0,1.0,496270.236,North East
1.39049,103.88051,416B FERNVALE LINK,SENGKANG,5 ROOM,112.0,95,6.0,12.196173,0.402921,5.0,0.182025,0.631155,14.0,1.0,651224.3400000001,North East
1.39049,103.89944,236 COMPASSVALE WALK,SENGKANG,4 ROOM,100.0,81,22.0,12.909046,1.189564,6.0,0.458537,0.49647,27.0,0.0,444644.6,North East
1.39049,103.89944,236 COMPASSVALE WALK,SENGKANG,5 ROOM,123.0,81,22.0,12.909046,1.189564,6.0,0.458537,0.49647,27.0,0.0,535584.1675000001,North East
1.39049,103.90269,128 RIVERVALE ST,SENGKANG,4 ROOM,100.0,81,18.0,13.062036,1.453583,6.0,0.375605,0.172865,27.0,1.0,405999.7138,North East
1.39049,103.90269,128 RIVERVALE ST,SENGKANG,5 ROOM,120.5,81,18.0,13.062036,1.453583,6.0,0.375605,0.172865,27.0,1.0,492592.77000000014,North East
1.3905,103.90616,146 RIVERVALE DR,SENGKANG,4 ROOM,100.0,81,18.0,13.234517,1.773927,6.0,0.121764,0.295412,27.0,1.0,379287.15047600004,North East
1.3905,103.90616,146 RIVERVALE DR,SENGKANG,5 ROOM,116.0,81,18.0,13.234517,1.773927,6.0,0.121764,0.295412,27.0,1.0,466625.775,North East
1.39051,103.89367,216B COMPASSVALE DR,SENGKANG,4 ROOM,92.0,95,28.0,12.66185,0.909583,8.0,0.224237,1.128777,29.0,3.0,677087.934192,North East
1.39051,103.89367,216B COMPASSVALE DR,SENGKANG,5 ROOM,112.0,95,28.0,12.66185,0.909583,8.0,0.224237,1.128777,29.0,3.0,821514.4875,North East
1.39053,103.90561,147 RIVERVALE CRES,SENGKANG,EXECUTIVE,135.0,81,17.0,13.209965,1.723456,6.0,0.118697,0.239721,27.0,1.0,682661.685,North East
1.39055,103.87691,411A FERNVALE RD,SENGKANG,4 ROOM,95.0,94,10.0,12.104206,0.116646,4.0,0.169488,0.577426,13.0,2.0,477093.76,North East
1.39056,103.89227,321B ANCHORVALE DR,SENGKANG,4 ROOM,90.0,84,23.0,12.610066,0.818527,6.0,0.366455,1.283767,28.0,3.0,428197.77,North East
1.39056,103.89227,321B ANCHORVALE DR,SENGKANG,5 ROOM,110.0,84,23.0,12.610066,0.818527,6.0,0.366455,1.283767,28.0,3.0,546668.9455,North East
