,hdb_lat,hdb_lon,hawker_lat,hawker_lon,distance
6064,1.376762777,103.8781083,1.375429,103.882978,0.561647
6065,1.376783171,103.9403143,1.373434,103.951543,1.303337
6066,1.376790486,103.9407416,1.373434,103.951543,1.258055
6067,1.376793099,103.8371422,1.374489,103.839214,0.343615
6068,1.376804203,103.7684637,1.377601,103.77249,0.456657
6069,1.376806785,103.842018,1.374489,103.839214,0.403806
6070,1.376822522,103.8840827,1.375429,103.882978,0.197123
6071,1.376824237,103.9333195,1.373434,103.951543,2.062406
6072,1.376825251,103.900641,1.382388,103.892403,1.104013
6073,1.376835521,103.7748258,1.377601,103.77249,0.273379
6074,1.376846261,103.7473768,1.387136,103.761018,1.897146
6075,1.376847726,103.741509,1.355215,103.741826,2.392297
6076,1.37685097,103.7651237,1.377601,103.77249,0.823962
6077,1.376851785,103.943719,1.373434,103.951543,0.949193
6078,1.376904181,103.8362181,1.374489,103.839214,0.427177
6079,1.376914111,103.7358575,1.355215,103.741826,2.489619
6080,1.37691702,103.7430471,1.387136,103.761018,2.297074
6081,1.376932057,103.885697,1.375429,103.882978,0.34523
6082,1.376937221,103.742296,1.387136,103.761018,2.369142
6083,1.376951718,103.8917486,1.382388,103.892403,0.605512
6084,1.376955021,103.9359424,1.373434,103.951543,1.779273
6085,1.376966938,103.8792235,1.375429,103.882978,0.451111
6086,1.376972117,103.8888641,1.375429,103.882978,0.676908
6087,1.376973982,103.7392932,1.355215,103.741826,2.422452
6088,1.376974341,103.8959986,1.382388,103.892403,0.720039
6089,1.376987944,103.9448462,1.373434,103.951543,0.842532
6090,1.376999358,103.7711709,1.377601,103.77249,0.16117
6091,1.37704616,103.7668835,1.377601,103.77249,0.626943
6092,1.377052361,103.9429287,1.373434,103.951543,1.038806
6093,1.377054602,103.7694441,1.377601,103.77249,0.344313
6094,1.3770595,103.7389814,1.355215,103.741826,2.43611
6095,1.377065676,103.7419095,1.387136,103.761018,2.400434
6096,1.377081621,103.7528704,1.387136,103.761018,1.43463
6097,1.377082841,103.7543944,1.387136,103.761018,1.333816
6098,1.377087746,103.7487681,1.387136,103.761018,1.758688
6099,1.377093166,103.8778672,1.375429,103.882978,0.597795
6100,1.377102517,103.8784827,1.375429,103.882978,0.533399
6101,1.377118235,103.7375586,1.355215,103.741826,2.468071
6102,1.377129628,103.7661712,1.377601,103.77249,0.705133
6103,1.377130782,103.753556,1.387136,103.761018,1.383317
6104,1.377141549,103.7409433,1.355215,103.741826,2.426515
6105,1.377148327,103.7740238,1.377601,103.77249,0.177881
6106,1.377153628,103.9344804,1.373434,103.951543,1.94289
6107,1.377154888,103.8904792,1.382388,103.892403,0.616987
6108,1.377156192,103.774823,1.377601,103.77249,0.264251
6109,1.37715825,103.8775236,1.375429,103.882978,0.636411
6110,1.377159675,103.87968,1.375429,103.882978,0.413921
