,hdb_lat,hdb_lon,supermarket_lat,supermarket_lon,distance
9271,1.442026626,103.7899058,1.442753,103.790548,0.107511
9272,1.442049287,103.7987891,1.440538,103.800978,0.295402
9273,1.442072976,103.776354,1.433513,103.779747,1.019054
9274,1.442101227,103.8022733,1.440538,103.800978,0.225071
9275,1.442135963,103.8056199,1.44063,103.806198,0.178517
9276,1.442144832,103.80687,1.44063,103.806198,0.183438
9277,1.44215341,103.7917334,1.442753,103.790548,0.14764
9278,1.442158177,103.7956085,1.445623,103.798141,0.475615
9279,1.442162671,103.7931296,1.442753,103.790548,0.294614
9280,1.442165494,103.8080407,1.44063,103.806198,0.266231
9281,1.442210105,103.8010333,1.440538,103.800978,0.184995
9282,1.442260272,103.7875172,1.442753,103.790548,0.341653
9283,1.442277085,103.7741728,1.432626,103.774051,1.067255
9284,1.44228124,103.7869156,1.442753,103.790548,0.407582
9285,1.442351971,103.7783214,1.433513,103.779747,0.990161
9286,1.442369288,103.7935512,1.442753,103.790548,0.336892
9287,1.442394113,103.8028495,1.440538,103.800978,0.292403
9288,1.442507136,103.7953046,1.445623,103.798141,0.467267
9289,1.44253261,103.7896117,1.442753,103.790548,0.107008
9290,1.442533302,103.7977062,1.445623,103.798141,0.345053
9291,1.442559074,103.7724055,1.432626,103.774051,1.11351
9292,1.44256216,103.798634,1.445623,103.798141,0.34287
9293,1.442574491,103.8035941,1.44063,103.806198,0.360831
9294,1.442594349,103.7939931,1.442753,103.790548,0.383787
9295,1.442615966,103.8078522,1.44063,103.806198,0.286551
